회차,등위,상호명,당첨방식,소재지
1202,1등,태릉시장복권방,자동,서울 중랑구 중랑역로 47
1202,1등,사당,수동,서울 관악구 과천대로 953
1202,1등,성지로또,자동,서울 송파구 마천로7길 6 대림아파트상가115호
1202,1등,씨스페이스 어방점,수동,경남 김해시 인제로170번길 15-6 편의점 내
1202,1등,땅끝 로또,수동,전남 해남군 산정1길 111 세븐일레븐
1202,1등,대운복권,자동,경기 성남시 중원구 성남대로 1149
1202,1등,로또까페,수동,인천 계양구 길마로 35 1층 102호
1202,1등,머니머니,자동,경기 시흥시 월곶중앙로14번길 100
1201,1등,로또로복권,자동,전북 전주시 완산구 모악로 4729
1201,1등,세종로또방,수동,세종 용포로 32
1201,1등,복권판매점,자동,경기 광명시 광명로 908 (광명동)
1201,1등,백금당,자동,부산 중구 중구로29번길 26
1201,1등,인터넷 복권판매사이트,수동,동행복권(dhlottery.co.kr)
1201,1등,신일,자동,서울 강서구 까치산로 177 1층 101호
1201,1등,터미널복권판매점,자동,경남 창원시 마산회원구 3·15대로 756 1층 102호(마산시외버스터미널)
1201,1등,로또복권,자동,대구 군위군 중앙길 32
1201,1등,영화복권,수동,경남 창원시 진해구 안청남로 14
1201,1등,행운로또복권방,자동,경남 창원시 진해구 용원로 89
1201,1등,굴러들어온 복권,수동,서울 강남구 논현로72길 20 1층 102호
1201,1등,동남운천복권,자동,충북 청주시 상당구 중고개로125번길 17
1201,1등,비하로또명당,자동,충북 청주시 흥덕구 2순환로 1052 1층 휴대폰싸게파는집 내부
1201,1등,신가로판매점,자동,서울 중구 세종대로 26
1201,1등,대불로또판매점,수동,전남 영암군 대불주거1로9길 3 1층 101호
1201,1등,천하명당복권방,자동,광주 서구 풍암순환로 5 대주파크빌아파트상가1층102호
1201,1등,제이에이치마켓,자동,경남 창원시 의창구 의창대로 914
1201,1등,노다지구미황상,수동,경북 구미시 수출대로 555
1201,1등,복권나라동성점,자동,전남 순천시 연향번영길 94 동성아파트 상가113호
1200,1등,황금돼지,자동,인천 미추홀구 인주대로 370
1200,1등,씨유 망우점2,자동,서울 중랑구 망우로 410 1층
1200,1등,인터넷 복권판매사이트,자동,동행복권(dhlottery.co.kr)
1200,1등,행복한복권,자동,대구 수성구 지범로31길 7 우측상가(지산동)
1200,1등,L마트,자동,인천 서구 승학로 528 아카데미프라자107호
1200,1등,용남복권,자동,경남 통영시 남해안대로 440
1200,1등,행운의집로또,자동,충남 아산시 북수북길 7-4 1층
1200,1등,탑,자동,강원 원주시 천사로 94 1층
1200,1등,제천시현로또점,수동,충북 제천시 의림대로 340 GS25
1200,1등,바로전산,자동,경기 광명시 오리로 1000 (광명동)
1200,1등,로또방,수동,경기 포천시 구절초로 44
1200,1등,살맛나는 세상,자동,서울 동대문구 한천로46길 56-4 GS25시 휘경주공점
1199,1등,돈벼락,수동,경기 부천시 범안로 220 제근린생활시설2동 1층 103호
1199,1등,돈벼락맞는곳,수동,부산 해운대구 양운로 55 두산위브센티움상가102호
1199,1등,행운 로또복권,자동,부산 해운대구 좌동로 107-10
1199,1등,새말편의점,자동,경기 안성시 신령로 209
1199,1등,참깨열쇠.복권,수동,전북 전주시 완산구 용리로 43 1층
1199,1등,대박로또,자동,대전 중구 대종로 174 1층
1199,1등,여명슈퍼마켓,자동,서울 성북구 장위로15길 4
1199,1등,돈벼락맞는곳,수동,부산 해운대구 양운로 55 두산위브센티움상가102호
1199,1등,복권판매점,자동,경기 고양시 일산서구 일산로 502 분산상가동 1층 4호(일산동 후곡마을14단지)
1199,1등,진평양행,자동,강원 강릉시 임영로 107
1199,1등,복권명당,수동,강원 태백시 황지로 32
1199,1등,온누리로또,자동,경기 수원시 권선구 세권로 122 1층 102호
1199,1등,신의한수,자동,경기 화성시 떡전골로 86 103호
1199,1등,행복나눔,자동,전남 담양군 무정로 42
1199,1등,로또명당,자동,경북 의성군 중앙길 10-1 1층
1199,1등,승원롯또판매,자동,경남 창원시 의창구 천주로 506 복권판매점
1199,1등,인터넷 복권판매사이트,수동,동행복권(dhlottery.co.kr)
1198,1등,당첨복권방,수동,광주 북구 안산로 30 (오치동)
1198,1등,효자로또판매점,자동,전북 전주시 완산구 우전로 337 103호
1198,1등,영약국,자동,충남 금산군 인삼로 104
1198,1등,로또수현점,수동,강원 원주시 강변로 315 1층
1198,1등,나눔로또CU목상점,수동,대전 대덕구 대덕대로1448번길 71 CU편의점
1198,1등,윤,자동,인천 미추홀구 능해길 4 1층 1호(용현동)
1198,1등,명당골복권방,자동,경기 수원시 권선구 동수원로242번길 15 104호
1198,1등,행복한복권방,자동,전북 전주시 덕진구 혁신로 465
1198,1등,종합가판제141호,자동,서울 중구 퇴계로 447 황학 아크로타워
1198,1등,현대복권방,자동,서울 동대문구 답십리로 9 1층
1197,1등,로또 복권방,수동,경기 양주시 칠봉산로 195-7 102호(봉양동)
1197,1등,정통복권방,자동,경기 수원시 팔달구 매산로116번길 32
1197,1등,인터넷 복권판매사이트,자동,동행복권(dhlottery.co.kr)
1197,1등,오케이상사,자동,서울 서초구 신반포로 176 센트럴시티내100호매점
1197,1등,하영,자동,인천 서구 청라에메랄드로 65 아파트 상가 102호
1197,1등,대전우표사,자동,대전 동구 중앙로204번길 16-1
1197,1등,다람쥐로또,자동,서울 마포구 동교로 40 1층
1197,1등,일등,자동,서울 강동구 양재대로 1500 101호
1197,1등,로또복권방,수동,경기 의정부시 평화로 223
1197,1등,로토피아,자동,경기 광명시 오리로 371 상가1층102호
1197,1등,그린마트,자동,경기 성남시 분당구 대왕판교로 255 107호
1197,1등,춘향로또,자동,전북 남원시 동림로 102-1
1197,1등,대박찬스,자동,충북 청주시 흥덕구 가경로161번길 3
1196,1등,달려라 복권방,자동,경기 남양주시 남가로 1821 104호
1196,1등,뉴빅마트,자동,부산 기장군 정관중앙로 48 106호
1196,1등,행운복권방,자동,서울 금천구 가산디지털1로 168 A동 103호
1196,1등,쿡쿡로또명당,자동,충북 옥천군 금장로 65 세븐일레븐편의점
1196,1등,하늘복권방,자동,부산 해운대구 해운대로 814 A동 137호(좌동 세종월드프라자)
1196,1등,대박드림,자동,경북 포항시 북구 천마로72번길 7 1층111동107호(양덕동)
1196,1등,대박의터,자동,강원 춘천시 영서로 1786
1196,1등,성심상회,자동,경북 포항시 북구 불종로 78
1196,1등,복권마을,자동,서울 구로구 구로동로 72
1196,1등,드림로또,자동,경남 창원시 진해구 신항4로 49 105호 세븐일레븐
1196,1등,복권세상,자동,전남 목포시 청호로 139 1층 복권세상
1196,1등,훼미리마트 우아대로점,자동,전북 전주시 덕진구 건산로 276
1196,1등,행운복권방,자동,전북 고창군 중앙로 200
1196,1등,복덩이 로또,자동,인천 연수구 함박뫼로12번길 1 102호
1196,1등,100억로또점,자동,경기 김포시 김포대로 1610 나동 6호
1195,1등,대동복권방,자동,경남 김해시 월산로 112-57 이마트편의점 좌측 복권판매점
1195,1등,제우스테크,자동,대전 서구 원도안로 30
