회차,등위,상호명,당첨방식,소재지,cleaned_address
1201,1등,터미널복권판매점,자동,경남 창원시 마산회원구 3·15대로 756 1층 102호(마산시외버스터미널),경남 창원시 마산회원구 3·15대로 756
1201,1등,로또복권,자동,대구 군위군 중앙길 32,대구 군위군 중앙길 32
1201,1등,영화복권,수동,경남 창원시 진해구 안청남로 14,경남 창원시 진해구 안청남로 14
1201,1등,행운로또복권방,자동,경남 창원시 진해구 용원로 89,경남 창원시 진해구 용원로 89
1201,1등,굴러들어온 복권,수동,서울 강남구 논현로72길 20 1층 102호,서울 강남구 논현로 72길 20
1201,1등,동남운천복권,자동,충북 청주시 상당구 중고개로125번길 17,충북 청주시 상당구 중고개로 125번길 17
1201,1등,비하로또명당,자동,충북 청주시 흥덕구 2순환로 1052 1층 휴대폰싸게파는집 내부,충북 청주시 흥덕구 2
1201,1등,신가로판매점,자동,서울 중구 세종대로 26,서울 중구 세종대로 26
1201,1등,대불로또판매점,수동,전남 영암군 대불주거1로9길 3 1층 101호,전남 영암군 대불주거1로9길 3
1201,1등,천하명당복권방,자동,광주 서구 풍암순환로 5 대주파크빌아파트상가1층102호,광주 서구 풍암순환로 5
1201,1등,제이에이치마켓,자동,경남 창원시 의창구 의창대로 914,경남 창원시 의창구 의창대로 914
1201,1등,노다지구미황상,수동,경북 구미시 수출대로 555,경북 구미시 수출대로 555
1201,1등,복권나라동성점,자동,전남 순천시 연향번영길 94 동성아파트 상가113호,전남 순천시 연향번영길 94
1200,1등,황금돼지,자동,인천 미추홀구 인주대로 370,인천 미추홀구 인주대로 370
1200,1등,씨유 망우점2,자동,서울 중랑구 망우로 410 1층,서울 중랑구 망우로 410
1200,1등,인터넷 복권판매사이트,자동,동행복권(dhlottery.co.kr),동행복권(dhlottery.co.kr)
1200,1등,행복한복권,자동,대구 수성구 지범로31길 7 우측상가(지산동),대구 수성구 지범로 31길 7
1200,1등,L마트,자동,인천 서구 승학로 528 아카데미프라자107호,인천 서구 승학로 528
1200,1등,용남복권,자동,경남 통영시 남해안대로 440,경남 통영시 남해안대로 440
1200,1등,행운의집로또,자동,충남 아산시 북수북길 7-4 1층,충남 아산시 북수북길 7-4
1200,1등,탑,자동,강원 원주시 천사로 94 1층,강원 원주시 천사로 94
1200,1등,제천시현로또점,수동,충북 제천시 의림대로 340 GS25,충북 제천시 의림대로 340
1200,1등,바로전산,자동,경기 광명시 오리로 1000 (광명동),경기 광명시 오리로 1000
1200,1등,로또방,수동,경기 포천시 구절초로 44,경기 포천시 구절초로 44
1200,1등,살맛나는 세상,자동,서울 동대문구 한천로46길 56-4 GS25시 휘경주공점,서울 동대문구 한천로 46길 56-4
1199,1등,돈벼락,수동,경기 부천시 범안로 220 제근린생활시설2동 1층 103호,경기 부천시 범안로 220
1199,1등,돈벼락맞는곳,수동,부산 해운대구 양운로 55 두산위브센티움상가102호,부산 해운대구 양운로 55
1199,1등,행운 로또복권,자동,부산 해운대구 좌동로 107-10,부산 해운대구 좌동로 107-10
1199,1등,새말편의점,자동,경기 안성시 신령로 209,경기 안성시 신령로 209
1199,1등,참깨열쇠.복권,수동,전북 전주시 완산구 용리로 43 1층,전북 전주시 완산구 용리로 43
1199,1등,대박로또,자동,대전 중구 대종로 174 1층,대전 중구 대종로 174
1199,1등,여명슈퍼마켓,자동,서울 성북구 장위로15길 4,서울 성북구 장위로 15길 4
1199,1등,돈벼락맞는곳,수동,부산 해운대구 양운로 55 두산위브센티움상가102호,부산 해운대구 양운로 55
1199,1등,복권판매점,자동,경기 고양시 일산서구 일산로 502 분산상가동 1층 4호(일산동 후곡마을14단지),경기 고양시 일산서구 일산로 502
1199,1등,진평양행,자동,강원 강릉시 임영로 107,강원 강릉시 임영로 107
1199,1등,복권명당,수동,강원 태백시 황지로 32,강원 태백시 황지로 32
1199,1등,온누리로또,자동,경기 수원시 권선구 세권로 122 1층 102호,경기 수원시 권선구 세권로 122
1199,1등,신의한수,자동,경기 화성시 떡전골로 86 103호,경기 화성시 떡전골로 86
1199,1등,행복나눔,자동,전남 담양군 무정로 42,전남 담양군 무정로 42
1199,1등,로또명당,자동,경북 의성군 중앙길 10-1 1층,경북 의성군 중앙길 10-1
1199,1등,승원롯또판매,자동,경남 창원시 의창구 천주로 506 복권판매점,경남 창원시 의창구 천주로 506
1199,1등,인터넷 복권판매사이트,수동,동행복권(dhlottery.co.kr),동행복권(dhlottery.co.kr)
1198,1등,당첨복권방,수동,광주 북구 안산로 30 (오치동),광주 북구 안산로 30
1198,1등,효자로또판매점,자동,전북 전주시 완산구 우전로 337 103호,전북 전주시 완산구 우전로 337
1198,1등,영약국,자동,충남 금산군 인삼로 104,충남 금산군 인삼로 104
1198,1등,로또수현점,수동,강원 원주시 강변로 315 1층,강원 원주시 강변로 315
